Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
1.17090398695,0.09114121837,Hulia Rural LLG,PG210411,Komo/Magarima District,PG2104,Hela Province,PG21,Papua New Guinea,PG,"72",121413.999998,Hulia Rural,Hulia Rural LLG,Hulia District,Hela
0.35180291749,0.00684433036,Iabu Rural LLG,PG130102,Bogia District,PG1301,Madang Province,PG13,Papua New Guinea,PG,"19",6280.000000,Iabu Rural,Iabu Rural LLG,Bogia District,Madang
0.74904770251,0.02699776131,Ialibu Basin Rural LLG,PG070205,Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,"91",35564.000000,Ialibu Basin Rural,Ialibu Basin Rural LLG,Imbonggu District,Southern Highlands
0.24973857823,0.00263696629,Ialibu Urban LLG,PG070102,Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,Papua New Guinea,PG,"33",18320.000000,Ialibu Urban,Ialibu Urban LLG,Ialibu/Pangia District,Southern Highlands
3.65715289460,0.27466953587,Ihu Rural LLG,PG020209,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,"70",23883.000000,Ihu Rural,Ihu Rural LLG,Kikori District,Gulf Province
0.91911222082,0.03768886864,Imbongu Rural LLG,PG070206,Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,"41",49374.000001,Imbongu Rural,Imbongu Rural LLG,Imbonggu District,Southern Highlands
1.34780954427,0.07678851698,Inland Baining Rural LLG,PG180102,Gazelle District,PG1801,East New Britain Province,PG18,Papua New Guinea,PG,"55",38982.999999,Inland Baining Rural,Inland Baining Rural LLG,Gazelle District,East New Britain
1.87968462569,0.12942232422,Jimi Rural LLG,PG220406,Jimi District,PG2204,Jiwaka Province,PG22,Papua New Guinea,PG,"69",46550.000000,Jimi Rural,Jimi Rural LLG,Jimi District,Jiwaka
2.82921246405,0.21538182090,Josephstaal Rural LLG,PG130308,Middle Ramu District,PG1303,Madang Province,PG13,Papua New Guinea,PG,"94",30538.000000,Josephstaal Rural,Josephstaal Rural LLG,Middle Ramu District,Madang
0.69465947927,0.02287534640,Kafentina Rural LLG,PG110304,Henganofi District,PG1103,Eastern Highlands Province,PG11,Papua New Guinea,PG,"143",36443.305245,Kafentina Rural,Kafentina Rural LLG,Henganofi District,Eastern Highlands
