ADM3_EN,ADM2_EN,ADM1_EN
Gama Rural LLG,Usino Bundi District,Madang Province
Gasmata Rural LLG,Kandrian/Gloucester District,West New Britain Province
Gawanga Rural LLG,Ambunti/Drekikier District,East Sepik Province
Gawi Rural LLG,Wosera Gawi District,East Sepik Province
Gena/Waugla Rural LLG,Kerowagi District,Chimbu (Simbu) Province
Gloucester Rural LLG,Kandrian/Gloucester District,West New Britain Province
Gogodala Rural LLG,Middle Fly District,Western Province
Goodenough Island LLG,Kiriwina-Goodenough District,Milne Bay Province
Goroka Urban LLG,Goroka District,Eastern Highlands Province
Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province
Guari Rural LLG,Goilala District,Central Province
Gumine Rural LLG,Gumine District,Chimbu (Simbu) Province
Hayapuga Rural LLG,Tari/Pori District,Hela Province
Higaturu Rural LLG,Sohe District,Northern (Oro) Province
Hiri Rural LLG,Kairuku - Hiri District,Central Province
Hoskins Rural LLG,Talasea District,West New Britain Province
Hube Rural LLG,Finschafen District,Morobe Province
Huhu Rural LLG,Alotau District,Milne Bay Province
Hulia Rural LLG,Komo/Magarima District,Hela Province
Iabu Rural LLG,Bogia District,Madang Province
Ialibu Basin Rural LLG,Imbonggu District,Southern Highlands Province
Ialibu Urban LLG,Ialibu/Pangia District,Southern Highlands Province
Ihu Rural LLG,Kikori District,Gulf Province
Imbongu Rural LLG,Imbonggu District,Southern Highlands Province
Inland Baining Rural LLG,Gazelle District,East New Britain Province
Jimi Rural LLG,Jimi District,Jiwaka Province
Josephstaal Rural LLG,Middle Ramu District,Madang Province
Kafentina Rural LLG,Henganofi District,Eastern Highlands Province
Kagua Rural LLG,Kagua/Erave District,Southern Highlands Province
Kainantu Urban LLG,Kainanatu District,Eastern Highlands Province
Kaintiba Rural LLG,Kerema District,Gulf Province
Kairuku Rural LLG,Kairuku - Hiri District,Central Province
Kamano No. 1 Rural LLG,Kainanatu District,Eastern Highlands Province
Kamano No. 2 Rural LLG,Kainanatu District,Eastern Highlands Province
Kandep Rural LLG,Kandep District,Enga Province
Kandrian Coastal Rural LLG,Kandrian/Gloucester District,West New Britain Province
Kandrian Inland Rural LLG,Kandrian/Gloucester District,West New Britain Province
Kapao Rural LLG,Menyamya District,Morobe Province
Karawari Rural LLG,Angoram District,East Sepik Province
Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province
Karints Rural LLG,Mendi/Munihu District,Southern Highlands Province
Karkar Rural LLG,Sumkar District,Madang Province
Kavieng Urban LLG,Kavieng District,New Ireland Province
Keram Rural LLG,Angoram District,East Sepik Province
Kerema Urban LLG,Kerema District,Gulf Province
Kerowagi Urban LLG,Kerowagi District,Chimbu (Simbu) Province
Kewabi Rural LLG,Ialibu/Pangia District,Southern Highlands Province
Kimbe Urban LLG,Talasea District,West New Britain Province
Kira Rural LLG,Sohe District,Northern (Oro) Province
Kiriwina Rural LLG,Kiriwina-Goodenough District,Milne Bay Province
Kiunga Rural LLG,North Fly District,Western Province
Kiunga Urban LLG,North Fly District,Western Province
Kiwai Rural LLG,South Fly District,Western Province
Koiari Rural LLG,Kairuku - Hiri District,Central Province
Kokoda Rural LLG,Sohe District,Northern (Oro) Province
Kokopo/Vunamami Urban LLG,Kokopo District,East New Britain Province
Kol Rural LLG,Jimi District,Jiwaka Province
Komba Rural LLG,Kabwum District,Morobe Province
Kombiu Rural LLG,Rabaul District,East New Britain Province
Kome Rural LLG,Menyamya District,Morobe Province
Komo Rural LLG,Komo/Magarima District,Hela Province
Kompiam Rural LLG,Kompiam District,Enga Province
Konoagil Rural LLG,Namatanai District,New Ireland Province
Kotidanga Rural LLG,Kerema District,Gulf Province
Kotna Rural LLG,Dei District,Western Highlands Province
Kotte Rural LLG,Finschafen District,Morobe Province
Kove/Kaliai Rural LLG,Kandrian/Gloucester District,West New Britain Province
Kovon LLG,Middle Ramu District,Madang Province
Kuare Rural LLG,Kagua/Erave District,Southern Highlands Province
Kundiawa Urban LLG,Kundiawa/Gembogl District,Chimbu (Simbu) Province
Kunua LLG,North Bougainville District,Autonomous Region of Bougainville
Kup Rural LLG,Kerowagi District,Chimbu (Simbu) Province
Labuta Rural LLG,Nawae District,Morobe Province
Lae Urban LLG,Lae District,Morobe Province
Lagaip Rural LLG,Lagaip/Pogera District,Enga Province
Lai Valley Rural LLG,Mendi/Munihu District,Southern Highlands Province
Lake Kopiago Rural LLG,Koroba/Kopiago District,Hela Province
Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province
Lake Murray Rural LLG,Middle Fly District,Western Province
Lakekamu-Tauri Rural LLG,Kerema District,Gulf Province
Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands Province
Lassul Baining Rural LLG,Gazelle District,East New Britain Province
Lelemadih/Bupichupeu LLG,Manus District,Manus Province
Livuan/Reimber Rural LLG,Gazelle District,East New Britain Province
Lorengau Urban LLG,Manus District,Manus Province
Los Negros LLG,Manus District,Manus Province
Louisiade Rural LLG,Samarai-Murua District,Milne Bay Province
Lovongai Rural LLG,Kavieng District,New Ireland Province
Lower Asaro Rural LLG,Daulo District,Eastern Highlands Province
Lower Benna LLG,Unggai/Benna District,Eastern Highlands Province
Lower Mendi Rural LLG,Imbonggu District,Southern Highlands Province
Lower Wage LLG,Komo/Magarima District,Hela Province
Lumusa Rural LLG,Mul/Baiyer District,Western Highlands Province
Madang Urban LLG,Madang District,Madang Province
Maimai Wanwan LLG,Nuku District,West Sepik (Sandaun) Province
Maip Muritaka Rural LLG,Lagaip/Pogera District,Enga Province
Makamaka Rural LLG,Alotau District,Milne Bay Province
Maprik/Wora Rural LLG,Maprik District,East Sepik Province
Maramatana Rural LLG,Alotau District,Milne Bay Province
Maramuni Rural LLG,Wabag District,Enga Province
Marienberg Rural LLG,Angoram District,East Sepik Province
Mawase Rural LLG,Nuku District,West Sepik (Sandaun) Province
Mekeo Kuni Rural LLG,Kairuku - Hiri District,Central Province
Melkoi Rural LLG,Pomio District,East New Britain Province
Mendi Urban LLG,Mendi/Munihu District,Southern Highlands Province
Mimanalo Rural LLG,Goroka District,Eastern Highlands Province
Mitnande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu) Province
Morehead Rural LLG,South Fly District,Western Province
Morobe Rural LLG,Huon District,Morobe Province
Mosa Rural LLG,Talasea District,West New Britain Province
Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands Province
Mt Digine Rural LLG,Gumine District,Chimbu (Simbu) Province
Mt Giluwe Rural LLG,Tambul/Nebilyer District,Western Highlands Province
Mt Hagen Rural LLG,Mt Hagen District,Western Highlands Province
Mt Hagen Urban LLG,Mt Hagen District,Western Highlands Province
Mt. Michael Rural LLG,Lufa District,Eastern Highlands Province
Mul Rural LLG,Mul/Baiyer District,Western Highlands Province
Mumeng Rural LLG,Bulolo District,Morobe Province
Murat Rural LLG,Kavieng District,New Ireland Province
Murua Rural LLG,Samarai-Murua District,Milne Bay Province
Nabak Rural LLG,Nawae District,Morobe Province
Naho Rawa Rural LLG,Rai Coast District,Madang Province
Nali Sopat/Penabu LLG,Manus District,Manus Province
Namatanai Rural LLG,Namatanai District,New Ireland Province
Namea Rural LLG,Telefomin District,West Sepik (Sandaun) Province
Nanima Kariba LLG,Menyamya District,Morobe Province
National Capital District,National Capital District,National Capital District
Nayudo Rural LLG,Rai Coast District,Madang Province
Nebilyer Rural LLG,Tambul/Nebilyer District,Western Highlands Province
Nembi Plateau Rural LLG,Nipa/Kutubu District,Southern Highlands Province
Niglkande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu) Province
Nigoherm LLG,Manus District,Manus Province
Nimamar Rural LLG,Namatanai District,New Ireland Province
Ningerum Rural LLG,North Fly District,Western Province
Nipa Rural LLG,Nipa/Kutubu District,Southern Highlands Province
Nissan LLG,North Bougainville District,Autonomous Region of Bougainville
Nomad Rural LLG,Middle Fly District,Western Province
Nomane Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province
Nondugl Rural LLG,North Waghi District,Jiwaka Province
North Koroba Rural LLG,Koroba/Kopiago District,Hela Province
North Waghi Rural LLG,North Waghi District,Jiwaka Province
North Wosera Rural LLG,Wosera Gawi District,East Sepik Province
Numbor Rural LLG,Yangoru Saussia District,East Sepik Province
Oksapmin Rural LLG,Telefomin District,West Sepik (Sandaun) Province
Olsobip Rural LLG,North Fly District,Western Province
Onga/Waffa Rural LLG,Markham District,Morobe Province
Oriomo-Bituri Rural LLG,South Fly District,Western Province
Oro Bay Rural LLG,Ijivitari District,Northern (Oro) Province
Paiela/Hewa Rural LLG,Lagaip/Pogera District,Enga Province
Palmai Rural LLG,Nuku District,West Sepik (Sandaun) Province
Pilikambi Rural LLG,Lagaip/Pogera District,Enga Province
Pobuma LLG,Manus District,Manus Province
Pomutu/Kurti/Andra LLG,Manus District,Manus Province
Popondetta Urban LLG,Ijivitari District,Northern (Oro) Province
Porgera Rural LLG,Lagaip/Pogera District,Enga Province
Poroma Rural LLG,Nipa/Kutubu District,Southern Highlands Province
Rabaul Urban LLG,Rabaul District,East New Britain Province
Rai Coast Rural LLG,Rai Coast District,Madang Province
Raluana Rural LLG,Kokopo District,East New Britain Province
Rapatona LLG,Manus District,Manus Province
Rigo Central Rural LLG,Rigo District,Central Province
Rigo Coastal Rural LLG,Rigo District,Central Province
Rigo Inland Rural LLG,Rigo District,Central Province
Safia Rural LLG,Ijivitari District,Northern (Oro) Province
Salamaua Rural LLG,Huon District,Morobe Province
Salt Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province
Sausso Rural LLG,Yangoru Saussia District,East Sepik Province
Selau/Suir LLG,North Bougainville District,Autonomous Region of Bougainville
Selepet Rural LLG,Kabwum District,Morobe Province
Sentral Niu Ailan Rural LLG,Namatanai District,New Ireland Province
Sialum Rural LLG,Tawae/Siassi District,Morobe Province
Siane Rural LLG,Chuave District,Chimbu (Simbu) Province
Siassi Rural LLG,Tawae/Siassi District,Morobe Province
Simbai Rural LLG,Middle Ramu District,Madang Province
Sinivit Rural LLG,Pomio District,East New Britain Province
Siwai LLG,South Bougainville District,Autonomous Region of Bougainville
South Koroba Rural LLG,Koroba/Kopiago District,Hela Province
South Waghi Rural LLG,Anglimp/South Waghi District,Jiwaka Province
South Wosera Rural LLG,Wosera Gawi District,East Sepik Province
Star Mountains Rural LLG,North Fly District,Western Province
Suai Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu) Province
Suau Rural LLG,Alotau District,Milne Bay Province
Sumgilbar Rural LLG,Sumkar District,Madang Province
Tabare Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu) Province
Tagali Rural LLG,Tari/Pori District,Hela Province
Talasea Rural LLG,Talasea District,West New Britain Province
Tamata Rural LLG,Sohe District,Northern (Oro) Province
Tanir Rural LLG,Namatanai District,New Ireland Province
Tapini Rural LLG,Goilala District,Central Province
Tari Urban LLG,Tari/Pori District,Hela Province
Tebi Rural LLG,Tari/Pori District,Hela Province
Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province
Tetidu LLG,Manus District,Manus Province
Tikana Rural LLG,Kavieng District,New Ireland Province
Tinputz LLG,North Bougainville District,Autonomous Region of Bougainville
Torokina LLG,South Bougainville District,Autonomous Region of Bougainville
Transgogol Rural LLG,Madang District,Madang Province
Tsak Rural LLG,Wapenamanda District,Enga Province
Tufi Rural LLG,Ijivitari District,Northern (Oro) Province
Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province
Turubu Rural LLG,Wewak District,East Sepik Province
Umi/Atzera Rural LLG,Markham District,Morobe Province
Unavi Rural LLG,Lufa District,Eastern Highlands Province
Unggai Rural LLG,Unggai/Benna District,Eastern Highlands Province
Upper Asaro Rural LLG,Daulo District,Eastern Highlands Province
Upper Bena Rural LLG,Unggai/Benna District,Eastern Highlands Province
Upper Mendi Rural LLG,Mendi/Munihu District,Southern Highlands Province
Upper Wage LLG,Komo/Magarima District,Hela Province
Upper/Lower Koronigl LLG,Kerowagi District,Chimbu (Simbu) Province
Usino Rural LLG,Usino Bundi District,Madang Province
Vanimo Urban LLG,Vanimo/Green River District,West Sepik (Sandaun) Province
Vunadidir/Toma Rural LLG,Gazelle District,East New Britain Province
Wabag Rural LLG,Wabag District,Enga Province
Wabag Urban LLG,Wabag District,Enga Province
Wage Rural LLG,Kandep District,Enga Province
Wain-Erap Rural LLG,Nawae District,Morobe Province
Waiye LLG,Kundiawa/Gembogl District,Chimbu (Simbu) Province
Wakunai LLG,Central Bougainville District,Autonomous Region of Bougainville
Walsa Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province
Wampar Rural LLG,Huon District,Morobe Province
Wantoat/Leron Rural LLG,Markham District,Morobe Province
Wapenamanda Rural LLG,Wapenamanda District,Enga Province
Wapi-Yengis Rural LLG,Kompiam District,Enga Province
Wapi Rural LLG,Menyamya District,Morobe Province
Waria Rural LLG,Bulolo District,Morobe Province
Wasu Rural LLG,Tawae/Siassi District,Morobe Province
Watabung Rural LLG,Daulo District,Eastern Highlands Province
Watom Island Rual LLG,Rabaul District,East New Britain Province
Watut Rural LLG,Bulolo District,Morobe Province
Wau Rural LLG,Bulolo District,Morobe Province
Wau/Bulolo Urban LLG,Bulolo District,Morobe Province
Weraura Rural LLG,Alotau District,Milne Bay Province
West Aitape Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province
West Ferguson Rural LLG,Esa'ala District,Milne Bay Province
West Kikori Rural LLG,Kikori District,Gulf Province
West Okapa Rural LLG,Okapa District,Eastern Highlands Province
West Pomio/Mamusi Rural LLG,Pomio District,East New Britain Province
West Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province
West Yangoru Rural LLG,Yangoru Saussia District,East Sepik Province
Wewak Islands Rural LLG,Wewak District,East Sepik Province
Wewak Rural LLG,Wewak District,East Sepik Province
Wewak Urban LLG,Wewak District,East Sepik Province
Wiru Rural LLG,Ialibu/Pangia District,Southern Highlands Province
Woitape Rural LLG,Goilala District,Central Province
Yabim Mape Rural LLG,Finschafen District,Morobe Province
Yagaria Rural LLG,Lufa District,Eastern Highlands Province
Yaleyemba Rural LLG,Samarai-Murua District,Milne Bay Province
Yamil/Tamaui Rural LLG,Maprik District,East Sepik Province
Yangkok Rural LLG,Nuku District,West Sepik (Sandaun) Province
Yapsie Rural LLG,Telefomin District,West Sepik (Sandaun) Province
Yawar Rural LLG,Bogia District,Madang Province
Yelia Rural LLG,Obura/Wonenara District,Eastern Highlands Province
Yonggomugl Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu) Province
Yuat Rural LLG,Angoram District,East Sepik Province
Yus Rural LLG,Kabwum District,Morobe Province
