FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,,,2641987263.03312,Josephstaal Rural LLG,PG130308,Middle Ramu District,PG1303,Madang Province,PG13,Papua New Guinea,PG,"94",30537.99999992,Josephstaal Rural,Josephstaal Rural LLG,Middle Ramu District,Madang,145.0867210967,-4.8258208163
,,,279944725.017246,Kafentina Rural LLG,PG110304,Henganofi District,PG1103,Eastern Highlands Province,PG11,Papua New Guinea,PG,"143",36443.30524484,Kafentina Rural,Kafentina Rural LLG,Henganofi District,Eastern Highlands,145.6862149607,-6.2545774995
,,,456983824.237848,Kagua Rural LLG,PG070309,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,"86",40856.20182813,Kagua Rural,Kagua Rural LLG,Kagua/Erave District,Southern Highlands,143.8461959715,-6.4455235985
,,,2964999.33327938,Kainantu Urban LLG,PG110406,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,"31",15138.00000032,Kainantu Urban,Kainantu Urban LLG,Kainanatu District,Eastern Highlands,145.8646130242,-6.2903717084
,,,598563959.313243,Kaintiba Rural LLG,PG020103,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,"49",16204.99999977,Kaintiba Rural,Kaintiba Rural LLG,Kerema District,Gulf Province,146.0306742667,-7.5248706019
,,,1730343499.93731,Kairuku Rural LLG,PG030308,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,"105",33438.99999941,Kairuku Rural,Kairuku Rural LLG,Kairuku - Hiri District,Central,146.7984031386,-8.9036091912
,,,138000861.900957,Kamano No. 1 Rural LLG,PG110417,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,"43",17676.66797578,Kamano No. 1 Rural,Kamano No. 1 Rural LLG,Kainanatu District,Eastern Highlands,145.8027534697,-6.2757039408
,,,236116144.550095,Kamano No. 2 Rural LLG,PG110405,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,"51",13302.71482068,Kamano No. 2 Rural,Kamano No. 2 Rural LLG,Kainanatu District,Eastern Highlands,145.7080943460,-6.3866699507
,,,858714115.16245,Kandep Rural LLG,PG080101,Kandep District,PG0801,Enga Province,PG08,Papua New Guinea,PG,"68",44214.99999953,Kandep Rural,Kandep Rural LLG,Kandep District,Enga,143.5824222516,-5.8053985718
,,,2264485703.93822,Kandrian Coastal Rural LLG,PG190103,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,Papua New Guinea,PG,"57",18582.0000003,Kandrian Coastal Rural,Kandrian Coastal Rural LLG,Kandrian/Gloucester District,West New Britain,149.0182579592,-5.9118474844
,,,2523429276.26835,Kandrian Inland Rural LLG,PG190104,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,Papua New Guinea,PG,"80",21249.99999974,Kandrian Inland Rural,Kandrian Inland Rural LLG,Kandrian/Gloucester District,West New Britain,149.5803382179,-5.9991014190
,,,1472050504.23499,Kapao Rural LLG,PG120730,Menyamya District,PG1207,Morobe Province,PG12,Papua New Guinea,PG,"66",44199.8645962,Kapao Rural,Kapao Rural LLG,Menyamya District,Morobe,146.3480745982,-7.3861296152
,,,7649558374.95,Karawari Rural LLG,PG140206,Angoram District,PG1402,East Sepik Province,PG14,Papua New Guinea,PG,"59",27051.00000025,Karawari Rural,Karawari Rural LLG,Angoram District,East Sepik,143.3139888232,-4.7578441769
,,,3012782256.79177,Karimui Rural LLG,PG100307,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"86",38585.99999944,Karimui Rural,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu),144.8650284766,-6.5821463350
,,,191417754.017529,Karints Rural LLG,PG070618,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,Papua New Guinea,PG,"72",40740.00000067,Karints Rural,Karints Rural LLG,Mendi/Munihu District,Southern Highlands,143.6057793475,-6.0250910862
,,,434921163.247145,Karkar Rural LLG,PG130513,Sumkar District,PG1305,Madang Province,PG13,Papua New Guinea,PG,"107",67990.9999998,Karkar Rural,Karkar Rural LLG,Sumkar District,Madang,145.9946165467,-4.6568384672
,,,22642019.3208197,Kavieng Urban LLG,PG170104,Kavieng District,PG1701,New Ireland Province,PG17,Papua New Guinea,PG,"53",22725.0000003,Kavieng Urban,Kavieng Urban LLG,Kavieng District,New Ireland,150.8095708936,-2.5834056913
,,,3430722753.59176,Keram Rural LLG,PG140207,Angoram District,PG1402,East Sepik Province,PG14,Papua New Guinea,PG,"71",35462.00000009,Keram Rural,Keram Rural LLG,Angoram District,East Sepik,144.1393811442,-4.5177322335
