Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
26322087.78568576649,Kombiu Rural LLG,PG180416,Rabaul District,PG1804,East New Britain Province,PG18,"21",18356.000000,Kombiu Rural,Rabaul District,East New Britain
1071998668.55177080631,Kome Rural LLG,PG120721,Menyamya District,PG1207,Morobe Province,PG12,"94",38551.000000,Kome Rural,Menyamya District,Morobe
1041310518.45320725441,Komo Rural LLG,PG210412,Komo/Magarima District,PG2104,Hela Province,PG21,"51",86355.999999,Komo Rural,Hulia District,Hela
1914266366.12085819244,Kompiam Rural LLG,PG080204,Kompiam District,PG0802,Enga Province,PG08,"81",35641.065977,Kompiam Rural,Kompiam District,Enga
3127196320.38349390030,Konoagil Rural LLG,PG170207,Namatanai District,PG1702,New Ireland Province,PG17,"52",16734.297439,Konoagil Rural,Namatanai District,New Ireland
2237618498.67822408676,Kotidanga Rural LLG,PG020105,Kerema District,PG0201,Gulf Province,PG02,"54",29197.999999,Kotidanga Rural,Kerema District,Gulf Province
484899147.30441164970,Kotna Rural LLG,PG090214,Dei District,PG0902,Western Highlands Province,PG09,"175",53749.486051,Kotna Rural,Dei District,Western Highlands
390098524.41548651457,Kotte Rural LLG,PG120207,Finschafen District,PG1202,Morobe Province,PG12,"48",16906.000000,Kotte Rural,Finschafen District,Morobe
3583690595.64465093613,Kove/Kaliai Rural LLG,PG190105,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,"76",27080.000000,Kove/Kaliai Rural,Kandrian/Gloucester District,West New Britain
1686134262.01719474792,Kovon LLG,PG130317,Middle Ramu District,PG1303,Madang Province,PG13,"17",21943.000002,Kovon,Middle Ramu District,Madang
363957650.68005996943,Kuare Rural LLG,PG070310,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,"92",28146.000000,Kuare Rural,Kagua/Erave District,Southern Highlands
3509371.47720635030,Kundiawa Urban LLG,PG100513,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"29",24414.000000,Kundiawa Urban,Kundiawa/Gembogl District,Chimbu (Simbu)
1052181107.70430886745,Kunua LLG,PG200102,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"53",32017.000001,Kunua,North Bougainville District,Bougainville
196194442.90720781684,Kup Rural LLG,PG100412,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,"36",21917.000000,Kup Rural,Kerowagi District,Chimbu (Simbu)
838209182.45338511467,Labuta Rural LLG,PG120823,Nawae District,PG1208,Morobe Province,PG12,"33",24544.999999,Labuta Rural,Nawae District,Morobe
43424304.71465421468,Lae Urban LLG,PG120516,Lae District,PG1205,Morobe Province,PG12,"185",110910.999996,Lae Urban,Lae District,Morobe
681284736.58524787426,Lagaip Rural LLG,PG080306,Lagaip/Pogera District,PG0803,Enga Province,PG08,"41",38353.331619,Lagaip Rural,Laigap District,Enga
